brand,name,price,old_price,sizes
The North Face,Кроссовки женские The North Face Offtrail TR Gtx Soapstone/Concrete,17390,,"['37(1/2)', '38(1/2)', '39', '39(1/2)', '40', '40(1/2)']"
Hoka,Кроссовки женские Hoka Speedgoat 6 Gtx Black/Outer Orbit,13188,21980.0,"['38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42', '42(2/3)', '43(1/3)']"
Mizuno,Кроссовки мужские Mizuno Wave Horizon 9 Pale Khaki/White/Curds&Whey,19490,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)', '50']"
Asics,Кроссовки женские ASICS Novablast 5 Bluebell/Lilac Hint,15980,,"['39', '39(1/2)', '40', '40(1/2)', '42']"
Mizuno,Кроссовки Mizuno Wave Mujin Tl Gtx Summer Sand/Pristine/Chicory C,17493,24990.0,"['38', '38(1/2)', '39', '44(1/2)', '45']"
Nike,Кроссовки женские Nike Zoomx Vaporfly Next% 4 Citron Pulse/Indigo Burst-Laser Orange,38990,,"['38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
La Sportiva,Ботинки женские La Sportiva Tx5 Gtx Moonlight/Cherry Tomato,31980,,"['37(1/2)', '39(1/2)', '41']"
LOWA,Ботинки женские Lowa Renegade Warm Gtx Mid Navy/Ice Blue,29980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '41', '41(1/2)', '42']"
Adidas,Кроссовки детские Adidas Terrex Mid Gtx Pretea/Silvmt/Selubl,13120,,"['28', '29', '30', '30(1/2)', '31', '31(1/2)', '32', '33', '33(1/2)', '34', '35', '35(1/2)', '36', '36(2/3)', '37(1/2)', '38']"
Asics,Кроссовки детские ASICS Novablast 5 GS Black/Cobalt Burst,10490,,"['33', '35(1/2)', '39', '39(1/2)', '40']"
AKU,Ботинки женские AKU Ultra Light Original Gtx Sand/Olive,16170,26950.0,"['38', '39', '39(1/2)', '42']"
Meindl,Ботинки женские Meindl Ohio 2 Gtx Bordeaux,25480,,"['37(1/2)', '39(1/2)', '40', '41', '41(1/2)', '42']"
Salomon,Кроссовки мужские Salomon Ultra Glide 4 Fiery Red/Vanilla Ice/Black,19980,,"['40(2/3)', '41(1/3)', '42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)', '48', '49(1/3)']"
Mizuno,Кроссовки Mizuno Neo Zen 2 White/Dawn Blue,16490,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
La Sportiva,Кроссовки мужские La Sportiva Tempesta Gtx Electric Blue/Tiger,17836,25480.0,"['43', '43(1/2)', '44', '45(1/2)']"
Salomon,Ботинки мужские Salomon Quest Echo Gtx Asphalt/Wrought Iron/Aspargus Green,25980,,"['42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '47(1/3)', '48', '49(1/3)']"
AKU,Ботинки мужские AKU Trekker Lite III Gtx Darkbrown/Anthracite,16555,33110.0,"['46', '46(1/2)', '47']"
LOWA,Ботинки женские Lowa Renegade Evo Gtx Lo Graphite/Apricot,24980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '41', '41(1/2)', '42']"
Asolo,Ботинки мужские Asolo Eldo Evo Mid Lth GV MM Almond,26190,,"['41(1/3)', '42', '42(1/2)', '43(1/3)', '43(2/3)', '44(1/2)', '45', '46', '46(1/3)', '47', '47(1/2)']"
Dolomite,Ботинки женские Dolomite 54 Low Evo Gtx Gunmetal Grey,20490,,"['38', '38(2/3)', '39(1/2)', '40', '40(2/3)', '41(1/2)', '42', '42(1/2)']"
AKU,Ботинки мужские AKU Trekker Lite III Wide Gtx Dark Green/Brown,16555,33110.0,"['44(1/2)', '45', '46', '46(1/2)']"
LOWA,Ботинки мужские Lowa Gorgon Gtx Black/Anthracite,20980,,"['41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46']"
LOWA,Ботинки мужские Lowa Renegade Gtx Mid Deep Black,27480,,"['41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Dolomite,Ботинки мужские Dolomite 54 High Fg Evo Gtx Blue Navy,24490,,"['42', '42(1/2)', '44', '44(1/2)', '45', '45(2/3)', '46(1/2)', '47', '47(2/3)', '48(1/2)']"
